,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
159,"KLCC, Kuala Lumpur","RM 6,300,000",3+1,4.0,2.0,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished
160,"KLCC, Kuala Lumpur","RM 1,900,000",2+1,2.0,1.0,Condominium,Built-up : 915 sq. ft.,Fully Furnished
161,"KLCC, Kuala Lumpur","RM 3,000,000",4+1,5.0,3.0,Condominium,"Built-up : 3,218 sq. ft.",Partly Furnished
162,"KLCC, Kuala Lumpur","RM 1,000,000",1,1.0,1.0,Condominium (EndLot),Built-up : 751 sq. ft.,Partly Furnished
163,"KLCC, Kuala Lumpur","RM 1,000,000",1,1.0,1.0,Condominium (EndLot),Built-up : 751 sq. ft.,Partly Furnished
164,"KLCC, Kuala Lumpur","RM 2,000,000",2+1,2.0,1.0,Serviced Residence (Corner),"Built-up : 1,350 sq. ft.",Fully Furnished
165,"KLCC, Kuala Lumpur","RM 6,380,000",3+1,4.0,2.0,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Partly Furnished
166,"Batu Caves, Kuala Lumpur","RM 676,775",3+1,3.0,4.0,Serviced Residence (Intermediate),"Built-up : 1,265 sq. ft.",Partly Furnished
167,"Mont Kiara, Kuala Lumpur","RM 1,830,000",4+1,4.0,2.0,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
168,"City Centre, Kuala Lumpur","RM 1,750,000",2+1,3.0,1.0,Serviced Residence,"Built-up : 1,442 sq. ft.",Partly Furnished
169,"Desa ParkCity, Kuala Lumpur","RM 1,780,000",3+1,3.0,2.0,2-sty Terrace/Link House (Intermediate),"Built-up : 2,400 sq. ft.",Fully Furnished
170,"Bukit Jalil, Kuala Lumpur","RM 1,200,000",5+1,4.0,4.0,Condominium (Corner),"Built-up : 1,930 sq. ft.",Partly Furnished
171,"KLCC, Kuala Lumpur","RM 2,300,000",1,2.0,1.0,Serviced Residence,"Built-up : 1,046 sq. ft.",Partly Furnished
172,"KLCC, Kuala Lumpur","RM 2,300,000",1,1.0,2.0,Serviced Residence (Intermediate),"Built-up : 1,046 sq. ft.",Partly Furnished
173,"Mont Kiara, Kuala Lumpur","RM 1,600,000",3+1,3.0,2.0,Condominium,"Built-up : 1,878 sq. ft.",Partly Furnished
174,"Mont Kiara, Kuala Lumpur","RM 1,291,000",5+1,4.0,3.0,Condominium,"Built-up : 2,069 sq. ft.",Partly Furnished
